Date,Name of Species,Small (in Rs.),Medium (in Rs.),Large (in Rs.)
3/2/2022,Long tail tuna,514.05,0,0
3/2/2022,Malabar anchovy,381,0,0
3/2/2022,Malabar blood snapper,523.8,0,0
3/2/2022,Malabar grouper,543.03,0,0
3/2/2022,Narrow-barred spanish mackerel,996.91,0,0
3/2/2022,Pearl Spot,384.36,0,0
3/2/2022,Silver pomfret,681.55,0,0
3/2/2022,Small head hairtail,307.7,0,0
3/2/2022,Spineless cuttle fish,529.99,0,0
3/2/2022,Spiny cheek grouper,637.52,0,0
3/2/2022,Spotted crab,544.07,0,0
3/2/2022,Spotted eagle ray,572.68,0,0
4/2/2022,Asian Seabass,701.41,0,0
4/2/2022,Big eye trevally,565.46,0,0
4/2/2022,Black barred half beak,611.13,0,0
4/2/2022,Black pomfret,728.85,0,0
4/2/2022,Blue Swimming Crab,627.62,0,0
4/2/2022,Bombay duck,355.95,0,0
4/2/2022,Flower tail prawn,622.63,0,0
4/2/2022,Four finger thread fin,566.87,0,0
4/2/2022,Frigate tuna,417.37,0,0
4/2/2022,Giant catfish,571.27,0,0
4/2/2022,Giant tiger prawn,472.2,0,0
4/2/2022,Gold spot mullet,577.43,0,0
4/2/2022,Gold spotted granadier anchovy,266.33,0,0
4/2/2022,Greasy grouper,596.38,0,0
4/2/2022,Green mud crab,687.78,0,0
4/2/2022,Grey mullet,507.75,0,0
4/2/2022,Hound needle fish,512.4,0,0
4/2/2022,Indian mackerel,442.56,0,0
4/2/2022,Indian squid,535.58,0,0
4/2/2022,Indian white prawn,521.31,0,0
4/2/2022,Indo-pacific seer fish,989.01,0,0
4/2/2022,Japanese threadfin bream,464.39,0,0
4/2/2022,Jinga prawn,498.6,0,0
4/2/2022,John\'s snapper,622.14,0,0
4/2/2022,Kiddi shrimp,408.18,0,0
4/2/2022,Little tuna,524.86,0,0
4/2/2022,Long tail tuna,502.44,0,0
4/2/2022,Malabar anchovy,376.35,0,0
4/2/2022,Malabar blood snapper,558.4,0,0
4/2/2022,Malabar grouper,522.56,0,0
4/2/2022,Narrow-barred spanish mackerel,1021.91,0,0
4/2/2022,Pearl Spot,361.33,0,0
4/2/2022,Silver pomfret,675.75,0,0
4/2/2022,Small head hairtail,309.68,0,0
4/2/2022,Spineless cuttle fish,541.4,0,0
4/2/2022,Spiny cheek grouper,634.01,0,0
4/2/2022,Spotted crab,563.43,0,0
4/2/2022,Spotted eagle ray,633.02,0,0
5/2/2022,Asian Seabass,849.16,0,0
5/2/2022,Big eye trevally,686.01,0,0
5/2/2022,Black barred half beak,729.24,0,0
5/2/2022,Black pomfret,835.77,0,0
5/2/2022,Blue Swimming Crab,731.51,0,0
5/2/2022,Bombay duck,397.77,0,0
5/2/2022,Flower tail prawn,722.44,0,0
5/2/2022,Four finger thread fin,712.91,0,0
5/2/2022,Frigate tuna,463.89,0,0
5/2/2022,Giant catfish,731.16,0,0
5/2/2022,Giant tiger prawn,606.1,0,0
5/2/2022,Gold spot mullet,621.89,0,0
5/2/2022,Gold spotted granadier anchovy,334.78,0,0
5/2/2022,Greasy grouper,668.61,0,0
5/2/2022,Green mud crab,849.92,0,0
5/2/2022,Grey mullet,591.89,0,0
5/2/2022,Hound needle fish,626.14,0,0
5/2/2022,Indian mackerel,570.84,0,0
5/2/2022,Indian squid,643.68,0,0
5/2/2022,Indian white prawn,626.88,0,0
5/2/2022,Indo-pacific seer fish,1162.78,0,0
5/2/2022,Japanese threadfin bream,510.82,0,0
5/2/2022,Jinga prawn,560.54,0,0
5/2/2022,John\'s snapper,744.39,0,0
5/2/2022,Kiddi shrimp,494.65,0,0
5/2/2022,Little tuna,628.2,0,0
5/2/2022,Long tail tuna,607.81,0,0
5/2/2022,Malabar anchovy,433.18,0,0
5/2/2022,Malabar blood snapper,634.43,0,0
5/2/2022,Malabar grouper,635.8,0,0
5/2/2022,Narrow-barred spanish mackerel,1179.67,0,0
5/2/2022,Pearl Spot,434.91,0,0
5/2/2022,Silver pomfret,826.29,0,0
5/2/2022,Small head hairtail,361.77,0,0
5/2/2022,Spineless cuttle fish,665.95,0,0
5/2/2022,Spiny cheek grouper,719.69,0,0
5/2/2022,Spotted crab,671.94,0,0
5/2/2022,Spotted eagle ray,737.43,0,0
6/2/2022,Asian Seabass,849.72,0,0
6/2/2022,Big eye trevally,699.82,0,0
6/2/2022,Black barred half beak,711.22,0,0
6/2/2022,Black pomfret,836.54,0,0
6/2/2022,Blue Swimming Crab,796.05,0,0
6/2/2022,Bombay duck,398.05,0,0
6/2/2022,Flower tail prawn,711.61,0,0
6/2/2022,Four finger thread fin,705.12,0,0
6/2/2022,Frigate tuna,472.46,0,0
6/2/2022,Giant catfish,717.77,0,0
6/2/2022,Giant tiger prawn,621.83,0,0
6/2/2022,Gold spot mullet,673.48,0,0
6/2/2022,Gold spotted granadier anchovy,324.53,0,0
6/2/2022,Greasy grouper,671.95,0,0
6/2/2022,Green mud crab,886.04,0,0
6/2/2022,Grey mullet,574.69,0,0
6/2/2022,Hound needle fish,628.79,0,0
6/2/2022,Indian mackerel,567.48,0,0
6/2/2022,Indian squid,660.61,0,0
6/2/2022,Indian white prawn,600.53,0,0
6/2/2022,Indo-pacific seer fish,1115.83,0,0
6/2/2022,Japanese threadfin bream,506.26,0,0
6/2/2022,Jinga prawn,542.87,0,0
6/2/2022,John\'s snapper,728.54,0,0
6/2/2022,Kiddi shrimp,481.79,0,0
6/2/2022,Little tuna,629.47,0,0
6/2/2022,Long tail tuna,569.27,0,0
6/2/2022,Malabar anchovy,480.5,0,0
6/2/2022,Malabar blood snapper,623.16,0,0
6/2/2022,Malabar grouper,673.64,0,0
6/2/2022,Narrow-barred spanish mackerel,1152.35,0,0
6/2/2022,Pearl Spot,453.66,0,0
6/2/2022,Silver pomfret,816.45,0,0
6/2/2022,Small head hairtail,370.81,0,0
6/2/2022,Spineless cuttle fish,675.78,0,0
6/2/2022,Spiny cheek grouper,739.36,0,0
6/2/2022,Spotted crab,648.68,0,0
6/2/2022,Spotted eagle ray,749.01,0,0
7/2/2022,Asian Seabass,754.47,0,0
7/2/2022,Big eye trevally,558.13,0,0
7/2/2022,Black barred half beak,610.84,0,0
7/2/2022,Black pomfret,727.44,0,0
7/2/2022,Blue Swimming Crab,662.64,0,0
7/2/2022,Bombay duck,336.49,0,0
7/2/2022,Flower tail prawn,633.58,0,0
7/2/2022,Four finger thread fin,607.6,0,0
7/2/2022,Frigate tuna,397.18,0,0
7/2/2022,Giant catfish,613.44,0,0
7/2/2022,Giant tiger prawn,471.87,0,0
7/2/2022,Gold spot mullet,548.19,0,0
7/2/2022,Gold spotted granadier anchovy,274.35,0,0
7/2/2022,Greasy grouper,602.21,0,0
7/2/2022,Green mud crab,696.96,0,0
7/2/2022,Grey mullet,503.82,0,0
7/2/2022,Hound needle fish,520.09,0,0
7/2/2022,Indian mackerel,468.05,0,0
7/2/2022,Indian squid,532.25,0,0
7/2/2022,Indian white prawn,509.44,0,0
7/2/2022,Indo-pacific seer fish,985.78,0,0
7/2/2022,Japanese threadfin bream,441.71,0,0
7/2/2022,Jinga prawn,472.25,0,0
7/2/2022,John\'s snapper,626.47,0,0
7/2/2022,Kiddi shrimp,431.41,0,0
7/2/2022,Little tuna,545.1,0,0
7/2/2022,Long tail tuna,507.33,0,0
7/2/2022,Malabar anchovy,406.43,0,0
7/2/2022,Malabar blood snapper,538.66,0,0
7/2/2022,Malabar grouper,569.9,0,0
7/2/2022,Narrow-barred spanish mackerel,988.52,0,0
7/2/2022,Pearl Spot,354.98,0,0
7/2/2022,Silver pomfret,647.64,0,0
7/2/2022,Small head hairtail,292.29,0,0
7/2/2022,Spineless cuttle fish,549.72,0,0
7/2/2022,Spiny cheek grouper,640.33,0,0
7/2/2022,Spotted crab,515.08,0,0
7/2/2022,Spotted eagle ray,605.17,0,0
8/2/2022,Asian Seabass,705.85,0,0
8/2/2022,Big eye trevally,596.81,0,0
8/2/2022,Black barred half beak,593.21,0,0
8/2/2022,Black pomfret,751.12,0,0
8/2/2022,Blue Swimming Crab,674.5,0,0
8/2/2022,Bombay duck,348.82,0,0
8/2/2022,Flower tail prawn,612.89,0,0
8/2/2022,Four finger thread fin,557.27,0,0
8/2/2022,Frigate tuna,419.06,0,0
8/2/2022,Giant catfish,566.65,0,0
8/2/2022,Giant tiger prawn,486.51,0,0
8/2/2022,Gold spot mullet,573.63,0,0
8/2/2022,Gold spotted granadier anchovy,263.37,0,0
8/2/2022,Greasy grouper,558.29,0,0
8/2/2022,Green mud crab,728.52,0,0
8/2/2022,Grey mullet,492.73,0,0
8/2/2022,Hound needle fish,502.48,0,0
8/2/2022,Indian mackerel,461.8,0,0
8/2/2022,Indian squid,514.61,0,0
8/2/2022,Indian white prawn,507.46,0,0
8/2/2022,Indo-pacific seer fish,935.86,0,0
8/2/2022,Japanese threadfin bream,429.37,0,0
8/2/2022,Jinga prawn,461.3,0,0
8/2/2022,John\'s snapper,649.49,0,0
8/2/2022,Kiddi shrimp,404.57,0,0
8/2/2022,Little tuna,574.19,0,0
8/2/2022,Long tail tuna,479.93,0,0
8/2/2022,Malabar anchovy,372.51,0,0
8/2/2022,Malabar blood snapper,531.77,0,0
8/2/2022,Malabar grouper,524.85,0,0
8/2/2022,Narrow-barred spanish mackerel,1033.09,0,0
8/2/2022,Pearl Spot,381.34,0,0
8/2/2022,Silver pomfret,657.69,0,0
8/2/2022,Small head hairtail,311.81,0,0
8/2/2022,Spineless cuttle fish,558.13,0,0
8/2/2022,Spiny cheek grouper,609.77,0,0
8/2/2022,Spotted crab,560.76,0,0
8/2/2022,Spotted eagle ray,616.16,0,0
9/2/2022,Asian Seabass,696.73,0,0
9/2/2022,Big eye trevally,606.02,0,0
9/2/2022,Black barred half beak,614.94,0,0
9/2/2022,Black pomfret,748.6,0,0
9/2/2022,Blue Swimming Crab,673.3,0,0
9/2/2022,Bombay duck,332.96,0,0
9/2/2022,Flower tail prawn,582.47,0,0
9/2/2022,Four finger thread fin,556.23,0,0
9/2/2022,Frigate tuna,426.45,0,0
9/2/2022,Giant catfish,606.57,0,0
9/2/2022,Giant tiger prawn,500.86,0,0
9/2/2022,Gold spot mullet,549.24,0,0
9/2/2022,Gold spotted granadier anchovy,277.28,0,0
9/2/2022,Greasy grouper,594.68,0,0
9/2/2022,Green mud crab,739.78,0,0
9/2/2022,Grey mullet,524.88,0,0
9/2/2022,Hound needle fish,548.39,0,0
9/2/2022,Indian mackerel,487.65,0,0
9/2/2022,Indian squid,561.19,0,0
9/2/2022,Indian white prawn,514.02,0,0
9/2/2022,Indo-pacific seer fish,938.05,0,0
9/2/2022,Japanese threadfin bream,427.73,0,0
9/2/2022,Jinga prawn,466.43,0,0
9/2/2022,John\'s snapper,647.6,0,0
9/2/2022,Kiddi shrimp,402.22,0,0
9/2/2022,Little tuna,532.11,0,0
9/2/2022,Long tail tuna,477.77,0,0
9/2/2022,Malabar anchovy,392.81,0,0
9/2/2022,Malabar blood snapper,518.65,0,0
9/2/2022,Malabar grouper,524.84,0,0
9/2/2022,Narrow-barred spanish mackerel,1003.41,0,0
9/2/2022,Pearl Spot,351.53,0,0
9/2/2022,Silver pomfret,636.63,0,0
9/2/2022,Small head hairtail,306.34,0,0
9/2/2022,Spineless cuttle fish,571.03,0,0
9/2/2022,Spiny cheek grouper,634.47,0,0
9/2/2022,Spotted crab,559.68,0,0
9/2/2022,Spotted eagle ray,623.09,0,0
10/2/2022,Asian Seabass,729.46,0,0
10/2/2022,Big eye trevally,570.45,0,0
10/2/2022,Black barred half beak,596.25,0,0
10/2/2022,Black pomfret,738.27,0,0
10/2/2022,Blue Swimming Crab,622.83,0,0
10/2/2022,Bombay duck,336.2,0,0
10/2/2022,Flower tail prawn,640.24,0,0
10/2/2022,Four finger thread fin,579.56,0,0
10/2/2022,Frigate tuna,414.97,0,0
10/2/2022,Giant catfish,597.86,0,0
10/2/2022,Giant tiger prawn,501.43,0,0
10/2/2022,Gold spot mullet,539.08,0,0
10/2/2022,Gold spotted granadier anchovy,261.85,0,0
10/2/2022,Greasy grouper,600.74,0,0
10/2/2022,Green mud crab,738.05,0,0
10/2/2022,Grey mullet,481.57,0,0
10/2/2022,Hound needle fish,504.06,0,0
10/2/2022,Indian mackerel,443.62,0,0
10/2/2022,Indian squid,545.59,0,0
10/2/2022,Indian white prawn,530,0,0
10/2/2022,Indo-pacific seer fish,1009.11,0,0
10/2/2022,Japanese threadfin bream,447.35,0,0
10/2/2022,Jinga prawn,472.61,0,0
10/2/2022,John\'s snapper,624.58,0,0
10/2/2022,Kiddi shrimp,400.61,0,0
10/2/2022,Little tuna,531.03,0,0
10/2/2022,Long tail tuna,484.4,0,0
10/2/2022,Malabar anchovy,377.59,0,0
10/2/2022,Malabar blood snapper,511.01,0,0
10/2/2022,Malabar grouper,547.66,0,0
10/2/2022,Narrow-barred spanish mackerel,961.26,0,0
10/2/2022,Pearl Spot,369.7,0,0
10/2/2022,Silver pomfret,670.51,0,0
10/2/2022,Small head hairtail,309.08,0,0
10/2/2022,Spineless cuttle fish,545.57,0,0
10/2/2022,Spiny cheek grouper,629.8,0,0
10/2/2022,Spotted crab,568.51,0,0
10/2/2022,Spotted eagle ray,627.67,0,0
11/2/2022,Asian Seabass,729.13,0,0
11/2/2022,Big eye trevally,604.33,0,0
11/2/2022,Black barred half beak,631.13,0,0
11/2/2022,Black pomfret,777.69,0,0
11/2/2022,Blue Swimming Crab,703.16,0,0
11/2/2022,Bombay duck,359.65,0,0
11/2/2022,Flower tail prawn,654.03,0,0
11/2/2022,Four finger thread fin,616.46,0,0
11/2/2022,Frigate tuna,423.64,0,0
11/2/2022,Giant catfish,643.7,0,0
11/2/2022,Giant tiger prawn,519.41,0,0
11/2/2022,Gold spot mullet,576.15,0,0
11/2/2022,Gold spotted granadier anchovy,289.92,0,0
11/2/2022,Greasy grouper,608.82,0,0
11/2/2022,Green mud crab,712.46,0,0
11/2/2022,Grey mullet,513.84,0,0
11/2/2022,Hound needle fish,555.54,0,0
11/2/2022,Indian mackerel,484.24,0,0
11/2/2022,Indian squid,537.99,0,0
11/2/2022,Indian white prawn,582.65,0,0
11/2/2022,Indo-pacific seer fish,980.74,0,0
11/2/2022,Japanese threadfin bream,472.47,0,0
11/2/2022,Jinga prawn,500.28,0,0
11/2/2022,John\'s snapper,622.48,0,0
11/2/2022,Kiddi shrimp,450.56,0,0
11/2/2022,Little tuna,576.25,0,0
11/2/2022,Long tail tuna,522.85,0,0
11/2/2022,Malabar anchovy,396.2,0,0
11/2/2022,Malabar blood snapper,519.67,0,0
11/2/2022,Malabar grouper,564.93,0,0
11/2/2022,Narrow-barred spanish mackerel,1064.66,0,0
11/2/2022,Pearl Spot,365.64,0,0
11/2/2022,Silver pomfret,658.37,0,0
11/2/2022,Small head hairtail,313.8,0,0
11/2/2022,Spineless cuttle fish,562.51,0,0
11/2/2022,Spiny cheek grouper,648.29,0,0
11/2/2022,Spotted crab,536.66,0,0
11/2/2022,Spotted eagle ray,629.15,0,0
12/2/2022,Asian Seabass,796.02,0,0
12/2/2022,Big eye trevally,653.09,0,0
12/2/2022,Black barred half beak,709.39,0,0
12/2/2022,Black pomfret,863.7,0,0
12/2/2022,Blue Swimming Crab,761.13,0,0
12/2/2022,Bombay duck,398.43,0,0
12/2/2022,Flower tail prawn,680.71,0,0
12/2/2022,Four finger thread fin,686.71,0,0
12/2/2022,Frigate tuna,487.28,0,0
12/2/2022,Giant catfish,698.9,0,0
12/2/2022,Giant tiger prawn,589.73,0,0
12/2/2022,Gold spot mullet,614.25,0,0
12/2/2022,Gold spotted granadier anchovy,317.51,0,0
12/2/2022,Greasy grouper,675.96,0,0
12/2/2022,Green mud crab,828.3,0,0
12/2/2022,Grey mullet,563.85,0,0
12/2/2022,Hound needle fish,584.38,0,0
12/2/2022,Indian mackerel,523.35,0,0
12/2/2022,Indian squid,633.02,0,0
12/2/2022,Indian white prawn,589.8,0,0
12/2/2022,Indo-pacific seer fish,1116.9,0,0
12/2/2022,Japanese threadfin bream,488.76,0,0
12/2/2022,Jinga prawn,555.2,0,0
12/2/2022,John\'s snapper,725.77,0,0
12/2/2022,Kiddi shrimp,499.5,0,0
12/2/2022,Little tuna,654.73,0,0
12/2/2022,Long tail tuna,556.34,0,0
12/2/2022,Malabar anchovy,452.77,0,0
12/2/2022,Malabar blood snapper,637.08,0,0
12/2/2022,Malabar grouper,627.66,0,0
12/2/2022,Narrow-barred spanish mackerel,1112.84,0,0
12/2/2022,Pearl Spot,425.1,0,0
12/2/2022,Silver pomfret,769.41,0,0
12/2/2022,Small head hairtail,354.43,0,0
12/2/2022,Spineless cuttle fish,640.02,0,0
12/2/2022,Spiny cheek grouper,705.36,0,0
12/2/2022,Spotted crab,639.7,0,0
12/2/2022,Spotted eagle ray,688.18,0,0
13/2/2022,Asian Seabass,809.78,0,0
13/2/2022,Big eye trevally,706.02,0,0
13/2/2022,Black barred half beak,726.97,0,0
13/2/2022,Black pomfret,865.66,0,0
13/2/2022,Blue Swimming Crab,740.39,0,0
13/2/2022,Bombay duck,381.62,0,0
13/2/2022,Flower tail prawn,688.05,0,0
13/2/2022,Four finger thread fin,666.59,0,0
13/2/2022,Frigate tuna,464.99,0,0
13/2/2022,Giant catfish,681.81,0,0
13/2/2022,Giant tiger prawn,561.13,0,0
13/2/2022,Gold spot mullet,671.72,0,0
13/2/2022,Gold spotted granadier anchovy,309.37,0,0
13/2/2022,Greasy grouper,635.93,0,0
13/2/2022,Green mud crab,803.32,0,0
13/2/2022,Grey mullet,571,0,0
13/2/2022,Hound needle fish,580.24,0,0
13/2/2022,Indian mackerel,529.62,0,0
13/2/2022,Indian squid,644.58,0,0
13/2/2022,Indian white prawn,594.31,0,0
13/2/2022,Indo-pacific seer fish,1083.67,0,0
13/2/2022,Japanese threadfin bream,527.24,0,0
13/2/2022,Jinga prawn,570.95,0,0
13/2/2022,John\'s snapper,722.05,0,0
13/2/2022,Kiddi shrimp,484.34,0,0
13/2/2022,Little tuna,629.51,0,0
13/2/2022,Long tail tuna,565.06,0,0
13/2/2022,Malabar anchovy,447.38,0,0
13/2/2022,Malabar blood snapper,629.84,0,0
13/2/2022,Malabar grouper,657.16,0,0
13/2/2022,Narrow-barred spanish mackerel,1174.64,0,0
13/2/2022,Pearl Spot,394.39,0,0
13/2/2022,Silver pomfret,719.71,0,0
13/2/2022,Small head hairtail,330.36,0,0
13/2/2022,Spineless cuttle fish,641.81,0,0
13/2/2022,Spiny cheek grouper,741.63,0,0
13/2/2022,Spotted crab,657.59,0,0
13/2/2022,Spotted eagle ray,673.47,0,0
14/2/2022,Asian Seabass,732.87,0,0
14/2/2022,Big eye trevally,569.62,0,0
14/2/2022,Black barred half beak,575.05,0,0
14/2/2022,Black pomfret,756.28,0,0
14/2/2022,Blue Swimming Crab,627.27,0,0
14/2/2022,Bombay duck,349.8,0,0
14/2/2022,Flower tail prawn,586.96,0,0
14/2/2022,Four finger thread fin,586.92,0,0
14/2/2022,Frigate tuna,427.34,0,0
14/2/2022,Giant catfish,591.94,0,0
14/2/2022,Giant tiger prawn,495.72,0,0
14/2/2022,Gold spot mullet,545.78,0,0
14/2/2022,Gold spotted granadier anchovy,255.18,0,0
14/2/2022,Greasy grouper,607.15,0,0
14/2/2022,Green mud crab,732,0,0
14/2/2022,Grey mullet,479.64,0,0
14/2/2022,Hound needle fish,546.66,0,0
14/2/2022,Indian mackerel,444.9,0,0
14/2/2022,Indian squid,527.35,0,0
14/2/2022,Indian white prawn,528.89,0,0
14/2/2022,Indo-pacific seer fish,943.31,0,0
14/2/2022,Japanese threadfin bream,459.89,0,0
14/2/2022,Jinga prawn,488.59,0,0
14/2/2022,John\'s snapper,628.81,0,0
14/2/2022,Kiddi shrimp,436.55,0,0
14/2/2022,Little tuna,524.73,0,0
14/2/2022,Long tail tuna,484.03,0,0
14/2/2022,Malabar anchovy,374.85,0,0
14/2/2022,Malabar blood snapper,524.11,0,0
14/2/2022,Malabar grouper,559.41,0,0
14/2/2022,Narrow-barred spanish mackerel,999.62,0,0
14/2/2022,Pearl Spot,380.31,0,0
14/2/2022,Silver pomfret,690.19,0,0
14/2/2022,Small head hairtail,292.48,0,0
14/2/2022,Spineless cuttle fish,545.45,0,0
14/2/2022,Spiny cheek grouper,649.08,0,0
14/2/2022,Spotted crab,565.46,0,0
14/2/2022,Spotted eagle ray,638.28,0,0
15/2/2022,Asian Seabass,759.07,0,0
15/2/2022,Big eye trevally,632.88,0,0
15/2/2022,Black barred half beak,622.11,0,0
15/2/2022,Black pomfret,720.57,0,0
15/2/2022,Blue Swimming Crab,668.46,0,0
15/2/2022,Bombay duck,339.57,0,0
15/2/2022,Flower tail prawn,645.71,0,0
15/2/2022,Four finger thread fin,621.76,0,0
15/2/2022,Frigate tuna,425.78,0,0
15/2/2022,Giant catfish,614.49,0,0
15/2/2022,Giant tiger prawn,501.2,0,0
15/2/2022,Gold spot mullet,577.25,0,0
15/2/2022,Gold spotted granadier anchovy,272.57,0,0
15/2/2022,Greasy grouper,589.87,0,0
15/2/2022,Green mud crab,741.5,0,0
15/2/2022,Grey mullet,507.12,0,0
15/2/2022,Hound needle fish,539.77,0,0
15/2/2022,Indian mackerel,472.51,0,0
15/2/2022,Indian squid,560.86,0,0
15/2/2022,Indian white prawn,580.74,0,0
15/2/2022,Indo-pacific seer fish,1002.93,0,0
15/2/2022,Japanese threadfin bream,475.09,0,0
15/2/2022,Jinga prawn,508.26,0,0
15/2/2022,John\'s snapper,652.68,0,0
15/2/2022,Kiddi shrimp,417,0,0
15/2/2022,Little tuna,581.81,0,0
15/2/2022,Long tail tuna,531.54,0,0
15/2/2022,Malabar anchovy,395.35,0,0
15/2/2022,Malabar blood snapper,531.35,0,0
15/2/2022,Malabar grouper,585.71,0,0
15/2/2022,Narrow-barred spanish mackerel,1037.28,0,0
15/2/2022,Pearl Spot,365.44,0,0
15/2/2022,Silver pomfret,666.78,0,0
15/2/2022,Small head hairtail,298.21,0,0
15/2/2022,Spineless cuttle fish,597.23,0,0
15/2/2022,Spiny cheek grouper,660.9,0,0
15/2/2022,Spotted crab,586.2,0,0
15/2/2022,Spotted eagle ray,619.22,0,0
16/2/2022,Asian Seabass,742.2,0,0
16/2/2022,Big eye trevally,610.46,0,0
16/2/2022,Black barred half beak,592.07,0,0
16/2/2022,Black pomfret,733,0,0
16/2/2022,Blue Swimming Crab,644.39,0,0
16/2/2022,Bombay duck,347.5,0,0
16/2/2022,Flower tail prawn,609.45,0,0
16/2/2022,Four finger thread fin,612.14,0,0
16/2/2022,Frigate tuna,424.7,0,0
16/2/2022,Giant catfish,589,0,0
16/2/2022,Giant tiger prawn,488.81,0,0
16/2/2022,Gold spot mullet,550.25,0,0
16/2/2022,Gold spotted granadier anchovy,268.4,0,0
16/2/2022,Greasy grouper,599.94,0,0
16/2/2022,Green mud crab,695.23,0,0
16/2/2022,Grey mullet,502.15,0,0
16/2/2022,Hound needle fish,548.57,0,0
16/2/2022,Indian mackerel,487.3,0,0
16/2/2022,Indian squid,533.44,0,0
16/2/2022,Indian white prawn,542.12,0,0
16/2/2022,Indo-pacific seer fish,937.05,0,0
16/2/2022,Japanese threadfin bream,461.98,0,0
16/2/2022,Jinga prawn,486.91,0,0
16/2/2022,John\'s snapper,614.71,0,0
16/2/2022,Kiddi shrimp,432.39,0,0
16/2/2022,Little tuna,573.49,0,0
16/2/2022,Long tail tuna,509.04,0,0
16/2/2022,Malabar anchovy,380.33,0,0
16/2/2022,Malabar blood snapper,559.67,0,0
16/2/2022,Malabar grouper,575.76,0,0
16/2/2022,Narrow-barred spanish mackerel,1030.75,0,0
16/2/2022,Pearl Spot,372.82,0,0
16/2/2022,Silver pomfret,666.32,0,0
16/2/2022,Small head hairtail,293.3,0,0
16/2/2022,Spineless cuttle fish,568.87,0,0
16/2/2022,Spiny cheek grouper,613.69,0,0
16/2/2022,Spotted crab,562.6,0,0
16/2/2022,Spotted eagle ray,638.89,0,0
17/2/2022,Asian Seabass,692.85,0,0
17/2/2022,Big eye trevally,596.1,0,0
17/2/2022,Black barred half beak,602.82,0,0
17/2/2022,Black pomfret,737.15,0,0
17/2/2022,Blue Swimming Crab,662.92,0,0
17/2/2022,Bombay duck,335.04,0,0
17/2/2022,Flower tail prawn,648.31,0,0
17/2/2022,Four finger thread fin,594.18,0,0
17/2/2022,Frigate tuna,423.17,0,0
17/2/2022,Giant catfish,616.77,0,0
17/2/2022,Giant tiger prawn,474.15,0,0
17/2/2022,Gold spot mullet,543.66,0,0
17/2/2022,Gold spotted granadier anchovy,262.63,0,0
17/2/2022,Greasy grouper,577.02,0,0
17/2/2022,Green mud crab,685.28,0,0
17/2/2022,Grey mullet,490.12,0,0
17/2/2022,Hound needle fish,534.83,0,0
17/2/2022,Indian mackerel,472.83,0,0
17/2/2022,Indian squid,551.41,0,0
17/2/2022,Indian white prawn,517.86,0,0
17/2/2022,Indo-pacific seer fish,996.92,0,0
17/2/2022,Japanese threadfin bream,465.26,0,0
17/2/2022,Jinga prawn,473.79,0,0
17/2/2022,John\'s snapper,613.86,0,0
17/2/2022,Kiddi shrimp,399.97,0,0
17/2/2022,Little tuna,582.31,0,0
17/2/2022,Long tail tuna,488.64,0,0
17/2/2022,Malabar anchovy,370.97,0,0
17/2/2022,Malabar blood snapper,557.82,0,0
17/2/2022,Malabar grouper,544.03,0,0
17/2/2022,Narrow-barred spanish mackerel,1013.41,0,0
17/2/2022,Pearl Spot,339.4,0,0
17/2/2022,Silver pomfret,664.96,0,0
17/2/2022,Small head hairtail,320.56,0,0
17/2/2022,Spineless cuttle fish,556.09,0,0
17/2/2022,Spiny cheek grouper,603.79,0,0
17/2/2022,Spotted crab,564.56,0,0
17/2/2022,Spotted eagle ray,622.64,0,0
18/2/2022,Asian Seabass,739.39,0,0
18/2/2022,Big eye trevally,548.2,0,0
18/2/2022,Black barred half beak,604.51,0,0
18/2/2022,Black pomfret,738.29,0,0
18/2/2022,Blue Swimming Crab,656.88,0,0
18/2/2022,Bombay duck,331,0,0
18/2/2022,Flower tail prawn,588.37,0,0
18/2/2022,Four finger thread fin,589.1,0,0
18/2/2022,Frigate tuna,409.1,0,0
18/2/2022,Giant catfish,577.5,0,0
18/2/2022,Giant tiger prawn,511.14,0,0
18/2/2022,Gold spot mullet,533.2,0,0
18/2/2022,Gold spotted granadier anchovy,255.05,0,0
18/2/2022,Greasy grouper,605.77,0,0
18/2/2022,Green mud crab,676.9,0,0
18/2/2022,Grey mullet,489.64,0,0
18/2/2022,Hound needle fish,509.67,0,0
18/2/2022,Indian mackerel,459.76,0,0
18/2/2022,Indian squid,553.56,0,0
18/2/2022,Indian white prawn,547.53,0,0
18/2/2022,Indo-pacific seer fish,1016.36,0,0
18/2/2022,Japanese threadfin bream,423.92,0,0
18/2/2022,Jinga prawn,458.72,0,0
18/2/2022,John\'s snapper,630.11,0,0
18/2/2022,Kiddi shrimp,412.42,0,0
18/2/2022,Little tuna,545.02,0,0
18/2/2022,Long tail tuna,468.58,0,0
18/2/2022,Malabar anchovy,385.35,0,0
18/2/2022,Malabar blood snapper,527.34,0,0
18/2/2022,Malabar grouper,533.87,0,0
18/2/2022,Narrow-barred spanish mackerel,1005.98,0,0
18/2/2022,Pearl Spot,341.83,0,0
18/2/2022,Silver pomfret,683.18,0,0
18/2/2022,Small head hairtail,317.71,0,0
18/2/2022,Spineless cuttle fish,562.01,0,0
18/2/2022,Spiny cheek grouper,655.38,0,0
18/2/2022,Spotted crab,567.54,0,0
18/2/2022,Spotted eagle ray,612.05,0,0
19/2/2022,Asian Seabass,864.53,0,0
19/2/2022,Big eye trevally,691.47,0,0
19/2/2022,Black barred half beak,656.99,0,0
19/2/2022,Black pomfret,848.83,0,0
